Tag Name,Address,Data Type,Respect Data Type,Client Access,Scan Rate,Scaling,Raw Low,Raw High,Scaled Low,Scaled High,Scaled Data Type,Clamp Low,Clamp High,Eng Units,Description,Negate Value
"V-c1110","C1110",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1111","C1111",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1112","C1112",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1113","C1113",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1114","C1114",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1115","C1115",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1116","C1116",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1117","C1117",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c112","C112",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1120","C1120",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1121","C1121",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1122","C1122",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1123","C1123",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1124","C1124",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1125","C1125",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1126","C1126",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1127","C1127",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c113","C113",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1130","C1130",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1131","C1131",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1132","C1132",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1133","C1133",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1134","C1134",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1135","C1135",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1136","C1136",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1137","C1137",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c114","C114",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1140","C1140",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1141","C1141",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1142","C1142",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1143","C1143",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1144","C1144",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1145","C1145",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1146","C1146",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1147","C1147",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c115","C115",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1150","C1150",Boolean,1,R/W,10,,,,,,,,,,"",
"V-c1151","C1151",Boolean,1,R/W,10,,,,,,,,,,"",
